id,food_name,calories,protein_g,fat_g,carbs_g,disease_tags
946,Yogurt Variant 35,352,33.29,10.78,40.36,"Diabetes-Friendly, High-Protein, Kidney-Friendly"
947,Spinach Variant 5,547,18.36,18.76,68.54,"High-Protein, Low-Salt"
948,Egg Variant 4,518,32.53,12.93,78.65,"Diabetes-Friendly, Weight-Loss"
949,Orange Variant 28,107,14.49,27.21,51.35,"Low-Carb, Low-Salt"
950,Egg Variant 20,72,6.44,24.91,66.65,Weight-Loss
951,Oats Variant 3,384,10.57,25.43,64.99,Balanced
952,Broccoli Variant 3,161,3.04,12.49,61.22,"Kidney-Friendly, Balanced, Weight-Loss"
953,Cheese Variant 12,599,30.22,24.37,44.65,"High-Protein, Low-Salt"
954,Yogurt Variant 45,286,29.94,1.9,52.5,Liver-Friendly
955,Cheese Variant 50,389,22.78,21.62,17.59,"Kidney-Friendly, Low-Carb, Diabetes-Friendly"
956,Potato Variant 42,579,30.83,8.83,29.89,Balanced
957,Chicken Breast Variant 43,160,10.66,20.81,16.93,Weight-Loss
958,Beef Variant 40,254,34.35,11.32,42.06,"Low-Carb, Weight-Loss, Liver-Friendly"
959,Milk Variant 49,165,10.14,0.36,74.94,Weight-Loss
960,Cheese Variant 41,377,0.8,5.5,5.74,"Liver-Friendly, High-Protein, Low-Carb"
961,Potato Variant 28,583,20.64,26.32,56.19,Balanced
962,Pasta Variant 10,586,20.2,10.41,17.55,Low-Carb
963,Almonds Variant 33,328,10.62,27.65,61.52,Low-Salt
964,Yogurt Variant 19,158,27.67,2.9,46.54,"Heart-Healthy, Liver-Friendly, High-Protein"
965,Cheese Variant 10,281,15.35,14.79,47.86,"Low-Salt, Kidney-Friendly"
966,Yogurt Variant 39,566,38.29,24.51,16.61,"Low-Salt, Balanced"
967,Banana Variant 41,242,31.06,7.45,4.72,"Low-Salt, Low-Carb, Weight-Loss"
968,Rice Variant 8,325,19.8,8.2,57.71,"Kidney-Friendly, High-Protein, Low-Carb"
969,Yogurt Variant 27,81,8.41,16.64,75.59,Balanced
970,Milk Variant 49,232,17.36,25.84,61.29,"Liver-Friendly, Diabetes-Friendly"
971,Carrot Variant 8,363,29.16,20.5,23.36,Low-Carb
972,Oats Variant 4,275,31.86,15.22,29.69,Low-Carb
973,Milk Variant 4,421,3.2,11.01,36.56,High-Protein
974,Spinach Variant 34,47,37.39,3.69,40.28,"Low-Carb, Weight-Loss"
975,Salmon Variant 30,529,32.91,7.32,38.72,Low-Salt
976,Salmon Variant 1,370,6.29,11.04,46.76,Weight-Loss
977,Potato Variant 26,295,35.03,16.66,26.62,Heart-Healthy
978,Carrot Variant 4,461,29.9,29.83,49.94,"Liver-Friendly, Kidney-Friendly, Heart-Healthy"
979,Bread Variant 42,455,17.4,6.23,11.09,"High-Protein, Low-Carb, Diabetes-Friendly"
980,Carrot Variant 4,319,11.96,21.42,28.47,Diabetes-Friendly
981,Orange Variant 13,298,5.89,28.61,75.94,Weight-Loss
982,Milk Variant 40,151,12.08,3.32,78.61,"Weight-Loss, Low-Salt, Liver-Friendly"
983,Banana Variant 17,303,29.53,9.27,7.49,"Heart-Healthy, Balanced"
984,Chicken Breast Variant 21,351,24.98,11.26,32.58,Low-Carb
985,Potato Variant 49,570,26,26.38,64.85,High-Protein
986,Apple Variant 39,418,3.07,9.61,12.47,"Kidney-Friendly, Diabetes-Friendly, Heart-Healthy"
987,Yogurt Variant 36,215,35.84,0.2,73.85,"Heart-Healthy, Balanced, Diabetes-Friendly"
988,Beef Variant 34,477,6.3,1.89,37.81,"Kidney-Friendly, Diabetes-Friendly, Low-Carb"
989,Rice Variant 40,514,21.55,19.68,26.78,"Diabetes-Friendly, Weight-Loss"
990,Banana Variant 45,505,35.27,7.97,20.82,"Weight-Loss, Liver-Friendly"
991,Egg Variant 39,262,9.47,15.74,74.8,High-Protein
992,Rice Variant 8,320,34.93,21.06,55.43,Heart-Healthy
993,Carrot Variant 32,202,19.14,9.62,41.4,"Diabetes-Friendly, Low-Carb, Liver-Friendly"
994,Egg Variant 37,323,11.75,29.27,53.59,Diabetes-Friendly
995,Cheese Variant 35,298,29.5,25.47,32.2,Heart-Healthy
996,Salmon Variant 18,552,34,16.17,40.56,"Low-Carb, High-Protein"
997,Cheese Variant 28,521,38.1,7.06,74.15,Heart-Healthy
998,Banana Variant 4,410,12.11,11.98,46.67,"Low-Salt, Weight-Loss"
999,Bread Variant 4,88,36.49,26.84,33.34,"Low-Carb, Balanced, Low-Salt"
1000,Cheese Variant 1,422,31.21,12.04,71.08,"High-Protein, Kidney-Friendly"
1001,Rice Variant 23,256,30.9,3.15,62.53,Low-Carb
1002,Milk Variant 8,30,37.27,11.64,55.35,"Diabetes-Friendly, Low-Carb, High-Protein"
1003,Apple Variant 4,491,4.11,16.92,58.12,"Balanced, Low-Carb"
1004,Bread Variant 33,558,17.11,5.79,44.43,Kidney-Friendly
1005,Tofu Variant 15,82,39.81,27.38,69.78,"Kidney-Friendly, Diabetes-Friendly"
1006,Tofu Variant 3,413,12.86,15.81,16.3,Liver-Friendly
1007,Rice Variant 38,83,16.04,28.77,26.03,Balanced
1008,Egg Variant 35,429,32.1,16.22,66.35,"Weight-Loss, Low-Carb, Liver-Friendly"
1009,Beef Variant 26,130,17.49,5.45,63.14,"Balanced, Low-Salt"
1010,Beef Variant 47,88,16.88,2.56,68.96,Balanced
1011,Tofu Variant 21,229,34.16,24.63,36.87,"Kidney-Friendly, Low-Carb"
1012,Chicken Breast Variant 32,296,13.81,9.24,1.14,Low-Salt
1013,Banana Variant 37,139,9.49,27.54,65.93,"Heart-Healthy, Low-Salt, Weight-Loss"
1014,Cheese Variant 40,158,32.6,22.13,33.92,"Balanced, Diabetes-Friendly"
1015,Spinach Variant 49,560,27.07,13.78,56.96,"High-Protein, Kidney-Friendly"
1016,Oats Variant 7,113,15.37,20.04,72.38,"Kidney-Friendly, Weight-Loss, Low-Salt"
1017,Potato Variant 21,409,1.59,12.46,44.15,"Balanced, Weight-Loss, Low-Salt"
1018,Bread Variant 14,393,39.5,16.91,33.72,Heart-Healthy
1019,Pasta Variant 40,173,17.2,26.13,75.42,Low-Salt
1020,Pasta Variant 9,34,27.13,6.33,20.05,Weight-Loss
1021,Bread Variant 44,398,31,25.71,36.74,"Diabetes-Friendly, Liver-Friendly"
1022,Yogurt Variant 17,261,27.37,5.25,8.4,Kidney-Friendly
1023,Pasta Variant 21,325,31.74,6.42,24.82,Low-Salt
1024,Spinach Variant 31,388,34.69,8.74,73.73,"Heart-Healthy, Diabetes-Friendly, Low-Carb"
1025,Tofu Variant 31,107,19.27,23.66,45.28,Weight-Loss
1026,Spinach Variant 49,402,28.58,6.81,18.76,"High-Protein, Low-Salt"
1027,Bread Variant 25,69,6.49,12.84,47.5,Low-Salt
1028,Carrot Variant 41,449,25.24,13.85,37.37,"High-Protein, Liver-Friendly, Balanced"
1029,Orange Variant 15,164,3.28,11.56,12.9,"Low-Salt, Kidney-Friendly"
1030,Carrot Variant 36,190,31.55,11.96,29.64,Low-Carb
1031,Potato Variant 45,230,38.17,7.16,38.1,Weight-Loss
1032,Spinach Variant 46,378,12.67,1.74,29.54,"High-Protein, Weight-Loss"
1033,Yogurt Variant 26,112,13.6,18.95,9,Low-Salt
1034,Yogurt Variant 49,200,6.81,9,29.89,"Kidney-Friendly, Low-Salt"
1035,Apple Variant 17,301,26.34,21.41,72.41,Low-Salt
1036,Oats Variant 46,73,34.88,18.63,10.43,"Low-Carb, Heart-Healthy, Diabetes-Friendly"
1037,Cheese Variant 32,451,7.06,26.7,10.55,Kidney-Friendly
1038,Apple Variant 6,128,7.71,18.31,70.03,Weight-Loss
1039,Yogurt Variant 30,441,2.06,18.19,55.31,"Liver-Friendly, Low-Salt, Balanced"
1040,Broccoli Variant 16,520,25.56,12.6,7.41,"Low-Carb, Liver-Friendly"
1041,Broccoli Variant 36,574,29.08,21.91,78.26,Low-Salt
1042,Cheese Variant 40,324,26.63,14.84,29.66,Heart-Healthy
1043,Carrot Variant 27,140,35.7,1.01,54.52,"Diabetes-Friendly, Kidney-Friendly, Low-Salt"
1044,Egg Variant 24,364,21.01,29.93,53.45,"Diabetes-Friendly, Low-Salt, Low-Carb"
1045,Almonds Variant 39,96,16.61,19.31,27.84,Diabetes-Friendly
1046,Egg Variant 46,343,31.15,11.32,44.51,"Kidney-Friendly, High-Protein"
1047,Orange Variant 9,238,19,27.47,76.66,"High-Protein, Weight-Loss, Heart-Healthy"
1048,Broccoli Variant 31,297,6.18,22.27,7.76,"Diabetes-Friendly, Weight-Loss, Balanced"
1049,Spinach Variant 2,133,13.64,21.1,37,"Low-Carb, High-Protein, Liver-Friendly"
1050,Chicken Breast Variant 24,60,36.95,5.69,38.56,"Diabetes-Friendly, Low-Salt"
1051,Potato Variant 20,103,39.5,20.15,31.71,"Weight-Loss, Low-Salt"
1052,Carrot Variant 38,255,39.96,29.3,11.65,"Weight-Loss, Balanced"
1053,Oats Variant 14,469,3.06,21.02,32.89,"Low-Carb, Liver-Friendly"
1054,Potato Variant 4,589,22.15,24.23,21.91,"Low-Salt, Heart-Healthy"
1055,Yogurt Variant 25,597,20.54,4.76,66.51,"Kidney-Friendly, Low-Salt, Weight-Loss"
1056,Beef Variant 42,599,6.75,29.07,32.13,Liver-Friendly
1057,Egg Variant 11,474,18.34,22.39,39.92,"Liver-Friendly, Diabetes-Friendly, High-Protein"
1058,Oats Variant 22,459,34.39,3.97,75.99,Balanced
1059,Salmon Variant 16,554,39.32,4.75,70.77,"Weight-Loss, Low-Carb, Diabetes-Friendly"
1060,Salmon Variant 40,452,22.23,1.57,39.07,Low-Salt
1061,Bread Variant 50,508,26.38,26.82,64.19,"Weight-Loss, Low-Salt, Liver-Friendly"
1062,Beef Variant 45,499,10.62,19.37,71.03,Liver-Friendly
1063,Yogurt Variant 23,480,15.86,9.42,18.37,"Diabetes-Friendly, Liver-Friendly, Low-Carb"
1064,Spinach Variant 45,454,30.99,22.73,10.35,"Liver-Friendly, High-Protein, Low-Salt"
1065,Almonds Variant 22,460,16.98,21.89,12.35,High-Protein
1066,Apple Variant 39,420,23.85,13.51,28.99,Kidney-Friendly
1067,Chicken Breast Variant 34,405,36.39,9.12,59.72,"Low-Salt, Balanced"
1068,Bread Variant 27,207,33.2,0.96,50.62,Liver-Friendly
1069,Milk Variant 44,543,34.45,4.51,36.04,"High-Protein, Low-Salt"
1070,Spinach Variant 4,415,31.36,29.97,53.3,"Kidney-Friendly, Balanced"
1071,Spinach Variant 38,107,35.03,9.98,26.05,"Liver-Friendly, Balanced, Weight-Loss"
1072,Chicken Breast Variant 11,39,22.2,4.27,45.73,Low-Carb
1073,Potato Variant 22,259,34.89,12.96,57.92,"Low-Salt, Liver-Friendly, High-Protein"
1074,Apple Variant 27,447,12.01,15.09,66.5,"High-Protein, Low-Carb, Weight-Loss"
1075,Pasta Variant 7,264,2.49,10.34,71.05,"High-Protein, Weight-Loss"
1076,Milk Variant 15,178,4.36,28.27,3.97,"Low-Carb, Weight-Loss"
1077,Carrot Variant 9,115,14.4,20.19,55.05,"Low-Salt, Liver-Friendly, Weight-Loss"
1078,Rice Variant 3,580,30.46,16.65,27.22,Balanced
1079,Bread Variant 5,280,30.48,11.74,52.03,"Liver-Friendly, Heart-Healthy"
1080,Almonds Variant 21,447,36.14,27.68,76.06,Diabetes-Friendly
1081,Milk Variant 30,275,24.58,12.32,60.82,"Balanced, Liver-Friendly, Diabetes-Friendly"
1082,Broccoli Variant 24,367,23.06,21.31,21.41,"Kidney-Friendly, Heart-Healthy, Liver-Friendly"
1083,Cheese Variant 31,132,32.19,5.84,53.06,"Kidney-Friendly, Balanced, High-Protein"
1084,Pasta Variant 4,185,7.92,23.4,25.39,"Balanced, Low-Salt"
1085,Salmon Variant 24,309,16.43,27.45,34.95,"Low-Salt, Weight-Loss, High-Protein"
1086,Pasta Variant 7,106,15.27,8.56,3.57,Weight-Loss
1087,Orange Variant 27,100,20.52,15.24,15.95,Low-Carb
1088,Spinach Variant 48,193,13.2,5.02,47.94,Low-Salt
1089,Spinach Variant 4,474,29.29,1.12,42.56,Balanced
1090,Spinach Variant 43,97,19.04,6.53,74.27,"Weight-Loss, Liver-Friendly"
1091,Pasta Variant 34,143,0.96,25.25,76.94,"Liver-Friendly, Weight-Loss"
1092,Cheese Variant 38,335,26.64,9.36,25.6,"Liver-Friendly, Diabetes-Friendly"
1093,Pasta Variant 15,143,35.4,5.22,3.61,"Liver-Friendly, Low-Carb, Diabetes-Friendly"
1094,Chicken Breast Variant 50,277,5.55,16.84,21.95,"Weight-Loss, Balanced"
1095,Pasta Variant 18,65,16.15,26.79,9.56,"Balanced, Kidney-Friendly, Weight-Loss"
1096,Spinach Variant 47,95,33.71,22.93,74.17,"Low-Salt, Diabetes-Friendly"
1097,Broccoli Variant 15,92,14.21,26.7,72.55,Liver-Friendly
1098,Bread Variant 44,548,22.19,0.98,12.7,"Kidney-Friendly, Balanced, Weight-Loss"
1099,Bread Variant 39,59,33.34,3.56,35.07,"Heart-Healthy, Diabetes-Friendly"
1100,Carrot Variant 10,517,28.22,28.35,70.03,"Liver-Friendly, Low-Salt, Diabetes-Friendly"
1101,Apple Variant 20,86,24.8,28.98,74.73,Kidney-Friendly
1102,Broccoli Variant 30,302,3.31,5.18,54.68,"High-Protein, Balanced"
1103,Pasta Variant 29,170,21.69,5.27,59.75,"Liver-Friendly, Balanced"
1104,Milk Variant 4,161,26.65,11.58,75.22,"Heart-Healthy, High-Protein, Kidney-Friendly"
1105,Milk Variant 46,579,34.75,25.33,66.83,"Kidney-Friendly, Balanced"
1106,Rice Variant 40,148,1.82,15.25,3.08,Weight-Loss
1107,Yogurt Variant 10,261,12.3,14.2,31.14,Diabetes-Friendly
1108,Tofu Variant 3,143,30.4,14.5,52.78,"High-Protein, Low-Carb, Heart-Healthy"
1109,Bread Variant 33,454,10.29,22.75,47.42,High-Protein
1110,Cheese Variant 45,279,29.95,12.02,62.98,Low-Salt
1111,Cheese Variant 49,192,29.85,0.18,54,"Diabetes-Friendly, Balanced, Low-Carb"
1112,Orange Variant 10,450,0.74,28.02,43.55,Balanced
1113,Carrot Variant 39,570,29.47,16.84,35.95,"High-Protein, Diabetes-Friendly"
1114,Carrot Variant 8,406,9.26,23.79,6.54,Low-Carb
1115,Almonds Variant 46,486,15.95,27.94,70.64,"Weight-Loss, Low-Salt"
1116,Chicken Breast Variant 3,53,20.34,9.9,60.14,"Heart-Healthy, Liver-Friendly"
1117,Bread Variant 21,596,28.86,8.33,60.81,High-Protein
1118,Broccoli Variant 1,498,3.16,3.54,72.1,Low-Salt
1119,Milk Variant 18,281,4.17,4.5,20.61,"Weight-Loss, Low-Carb"
1120,Chicken Breast Variant 31,403,34.61,1.54,76.3,Heart-Healthy
1121,Beef Variant 8,293,26.39,13.77,14.45,Kidney-Friendly
1122,Potato Variant 40,400,5.09,8.37,26.11,"Diabetes-Friendly, High-Protein, Low-Salt"
1123,Cheese Variant 5,331,26.39,27.08,62.25,"Diabetes-Friendly, Heart-Healthy, Weight-Loss"
1124,Yogurt Variant 16,345,37.97,26.22,75.97,"Weight-Loss, Low-Salt"
1125,Apple Variant 9,536,35.61,16.84,65.38,"Balanced, Heart-Healthy, High-Protein"
1126,Apple Variant 48,94,35.64,26.43,60.08,High-Protein
1127,Bread Variant 35,42,32.3,14.88,20.68,"Weight-Loss, Low-Carb"
1128,Yogurt Variant 45,575,29.21,3.2,56.26,"Heart-Healthy, Kidney-Friendly"
1129,Potato Variant 1,235,28.39,26.57,68.26,"Diabetes-Friendly, Balanced"
1130,Orange Variant 33,107,1.66,15.28,79.2,"High-Protein, Balanced"
1131,Bread Variant 40,188,24.86,29.74,52.31,Liver-Friendly
1132,Yogurt Variant 15,233,2.27,8.2,71.09,"Kidney-Friendly, High-Protein, Low-Carb"
1133,Broccoli Variant 7,181,36.77,2.67,22.62,"Balanced, Diabetes-Friendly"
1134,Yogurt Variant 14,106,15.11,11.91,28.47,"Liver-Friendly, Diabetes-Friendly, Low-Carb"
1135,Rice Variant 4,554,25.39,17.53,25.93,Liver-Friendly
1136,Bread Variant 7,488,4.66,27.88,1.11,"Weight-Loss, Low-Salt, High-Protein"
1137,Beef Variant 6,33,18.98,2.15,14.03,Low-Carb
1138,Egg Variant 20,324,19.69,11.4,55.2,"High-Protein, Liver-Friendly, Low-Salt"
1139,Broccoli Variant 15,116,26.65,6.37,37.4,"High-Protein, Liver-Friendly"
1140,Salmon Variant 28,392,21.32,1.26,6.91,Weight-Loss
1141,Broccoli Variant 3,89,20.99,7.85,1.17,"Low-Carb, Liver-Friendly, Weight-Loss"
1142,Apple Variant 5,211,15.48,25.73,72.19,High-Protein
1143,Almonds Variant 39,375,26.41,5.71,19.05,Kidney-Friendly
1144,Yogurt Variant 1,475,32.61,6.18,19.7,Weight-Loss
1145,Potato Variant 43,97,18.47,9.66,14.58,Low-Salt
1146,Potato Variant 37,333,37.37,1.05,64.51,"Liver-Friendly, Low-Carb, Balanced"
1147,Banana Variant 11,442,3.37,27.43,62.35,Heart-Healthy
1148,Orange Variant 9,159,1.96,5.8,70.37,Heart-Healthy
1149,Rice Variant 50,553,7.78,0.42,25.97,"Liver-Friendly, Balanced"
1150,Potato Variant 41,545,13.5,15.27,59.47,Kidney-Friendly
1151,Cheese Variant 7,312,13.34,27.28,32.71,"Weight-Loss, Heart-Healthy"
1152,Cheese Variant 22,215,4.86,3.27,25.75,High-Protein
1153,Broccoli Variant 44,590,34.42,22.27,51.96,"High-Protein, Balanced"
1154,Salmon Variant 32,97,5.33,14.8,60.55,"Balanced, Heart-Healthy"
1155,Apple Variant 19,523,13.2,10.54,5.78,"Diabetes-Friendly, Heart-Healthy"
1156,Banana Variant 6,151,12.65,3.54,7.51,"Weight-Loss, Liver-Friendly"
1157,Almonds Variant 37,422,29.5,22.45,43.94,Low-Salt
1158,Oats Variant 5,319,28.34,29.17,44.31,Heart-Healthy
1159,Potato Variant 46,141,24.28,14.75,72.66,Low-Carb
1160,Pasta Variant 41,355,12,11.84,37.37,High-Protein
1161,Milk Variant 50,369,7.56,23.06,74.77,"Kidney-Friendly, Diabetes-Friendly, Weight-Loss"
1162,Milk Variant 46,101,16.41,27.16,3.41,"Weight-Loss, High-Protein, Liver-Friendly"
1163,Spinach Variant 4,43,34.2,27.71,52.56,"Kidney-Friendly, Liver-Friendly, High-Protein"
1164,Banana Variant 10,476,37.51,21.27,11.9,"Low-Carb, Weight-Loss"
1165,Chicken Breast Variant 46,557,4.64,28.83,52.97,"Balanced, Liver-Friendly, Low-Carb"
1166,Apple Variant 19,133,4.46,26.59,30.56,"Heart-Healthy, Weight-Loss, Low-Salt"
1167,Tofu Variant 41,210,14.26,6.57,19.14,"Heart-Healthy, Weight-Loss"
1168,Apple Variant 19,385,31.75,15.32,27.66,Liver-Friendly
1169,Pasta Variant 13,153,13.64,14.18,24.8,Heart-Healthy
1170,Bread Variant 3,527,22.49,14.36,40.88,"Low-Carb, High-Protein"
1171,Rice Variant 45,280,32.36,3.42,73.02,"Heart-Healthy, Balanced, Low-Carb"
1172,Orange Variant 50,289,30.68,5.22,36.68,High-Protein
1173,Rice Variant 34,333,19.62,21.88,68.03,"Low-Salt, Heart-Healthy, High-Protein"
1174,Pasta Variant 2,460,37.68,18.72,19.56,"Low-Salt, Diabetes-Friendly"
1175,Apple Variant 10,226,10.23,12.73,73.29,"Low-Carb, High-Protein, Low-Salt"
1176,Banana Variant 21,430,22.68,7.47,37.63,Balanced
1177,Pasta Variant 12,389,1.32,29.69,31.86,"Diabetes-Friendly, Heart-Healthy, Weight-Loss"
1178,Apple Variant 17,550,27.09,16.11,56.83,Liver-Friendly
1179,Potato Variant 22,531,33.13,13.08,68.64,Low-Carb
1180,Oats Variant 49,41,20.17,21.3,60.91,Diabetes-Friendly
1181,Broccoli Variant 49,107,13.4,6.03,12.12,"Weight-Loss, High-Protein"
1182,Bread Variant 24,305,1.85,13.66,26.11,Weight-Loss
1183,Rice Variant 20,141,2.57,29.45,34.28,"Liver-Friendly, Balanced"
1184,Carrot Variant 36,342,26.18,28.84,61.24,"Balanced, Diabetes-Friendly, Liver-Friendly"
1185,Orange Variant 30,175,28.56,0.96,59.23,Low-Carb
1186,Bread Variant 40,431,10.18,25.31,37.52,"Diabetes-Friendly, Balanced, Liver-Friendly"
1187,Tofu Variant 39,223,8.23,23.66,31.3,"Low-Salt, Balanced"
1188,Oats Variant 40,190,26.4,4.91,40.32,"Balanced, Heart-Healthy, Low-Carb"
1189,Yogurt Variant 21,392,37.23,13.62,9.73,"Diabetes-Friendly, Low-Carb, Heart-Healthy"
1190,Oats Variant 5,54,38.81,11.11,5.31,"Liver-Friendly, High-Protein, Kidney-Friendly"
1191,Broccoli Variant 33,107,36.43,9.73,58.45,Low-Salt
1192,Chicken Breast Variant 18,443,22.9,3.63,13.52,"High-Protein, Low-Salt, Diabetes-Friendly"
1193,Banana Variant 25,72,16.76,20.75,78.48,"Heart-Healthy, Balanced, High-Protein"
1194,Egg Variant 4,415,34.71,21.48,21.67,"Weight-Loss, High-Protein"
1195,Bread Variant 13,213,28.8,18.97,18.82,"Low-Carb, Diabetes-Friendly, Liver-Friendly"
1196,Potato Variant 35,267,25.01,26.57,45.58,"Diabetes-Friendly, Kidney-Friendly, Heart-Healthy"
1197,Rice Variant 15,473,12.95,5.78,19.77,"Liver-Friendly, Low-Salt"
1198,Carrot Variant 35,34,18.36,29.97,25.04,Kidney-Friendly
1199,Salmon Variant 26,567,8.8,3.28,17.52,Kidney-Friendly
1200,Cheese Variant 41,487,12.31,24.94,16.77,Heart-Healthy
1201,Apple Variant 33,307,19.41,13.9,58.54,"Weight-Loss, Kidney-Friendly"
1202,Pasta Variant 38,485,11.46,6.36,3.8,Weight-Loss
1203,Almonds Variant 1,307,36.56,26.1,70.04,Diabetes-Friendly
1204,Almonds Variant 22,192,33.06,11.9,20.54,"Kidney-Friendly, High-Protein, Heart-Healthy"
1205,Salmon Variant 44,259,19.72,21.67,14.13,High-Protein
1206,Tofu Variant 28,375,17.79,14.23,8.95,High-Protein
1207,Spinach Variant 21,472,22.33,3.76,36,"Kidney-Friendly, Low-Carb, Low-Salt"
1208,Chicken Breast Variant 32,464,30.43,24.29,43.65,"Balanced, Heart-Healthy, Kidney-Friendly"
1209,Potato Variant 4,526,36.91,20.96,68.65,Low-Carb
1210,Carrot Variant 9,153,1.86,22.3,36.43,Heart-Healthy
1211,Yogurt Variant 19,345,25.7,11.1,59.15,"Diabetes-Friendly, High-Protein, Weight-Loss"
1212,Salmon Variant 42,458,18.57,5.79,72.65,"Weight-Loss, High-Protein"
1213,Pasta Variant 38,316,28.04,22.53,36.7,"Kidney-Friendly, Diabetes-Friendly"
1214,Milk Variant 36,51,22.52,20.53,36.31,Heart-Healthy
1215,Egg Variant 2,383,20.22,9.63,40.2,High-Protein
1216,Milk Variant 19,506,34.31,18.66,60.66,High-Protein
1217,Cheese Variant 48,597,31.48,8.01,56.9,"Heart-Healthy, Kidney-Friendly"
1218,Spinach Variant 45,101,39.2,23.98,72.12,"Low-Salt, Diabetes-Friendly, Low-Carb"
1219,Egg Variant 25,35,12.62,29.55,11.72,"Kidney-Friendly, Balanced"
1220,Oats Variant 43,337,30.26,9.72,73.97,"Weight-Loss, Kidney-Friendly, Liver-Friendly"
1221,Cheese Variant 21,105,28.87,29.4,11.3,Diabetes-Friendly
1222,Yogurt Variant 45,401,1.68,5.53,29.75,"Weight-Loss, Low-Carb, High-Protein"
1223,Carrot Variant 8,492,7.51,11.67,3.54,"High-Protein, Weight-Loss"
1224,Beef Variant 9,469,4.38,2.17,77.86,"Weight-Loss, Heart-Healthy, Diabetes-Friendly"
1225,Potato Variant 38,81,14.65,5.27,35.77,"Weight-Loss, Liver-Friendly"
1226,Milk Variant 40,72,12.69,10.21,38.75,Heart-Healthy
1227,Spinach Variant 34,224,24.54,19.95,61.47,"Low-Carb, High-Protein, Heart-Healthy"
1228,Cheese Variant 36,545,6.62,23.36,67.06,"Low-Salt, Low-Carb, Diabetes-Friendly"
1229,Oats Variant 22,40,27.12,9.36,33.48,"Low-Salt, Liver-Friendly"
1230,Cheese Variant 16,242,14.13,3.7,29.59,"Low-Salt, Kidney-Friendly, High-Protein"
1231,Yogurt Variant 32,105,2.58,28.1,76.31,"Diabetes-Friendly, Low-Salt"
1232,Egg Variant 17,489,20.01,17.91,75.82,"Weight-Loss, Low-Carb, Liver-Friendly"
1233,Milk Variant 8,559,1.22,29.92,23.34,"Balanced, Low-Carb"
1234,Pasta Variant 4,437,21.62,23.46,78.08,"Balanced, Low-Salt, Diabetes-Friendly"
1235,Apple Variant 6,350,21.89,8.02,12.85,"Low-Salt, Weight-Loss"
1236,Pasta Variant 23,315,0.52,22.78,45.07,Weight-Loss
1237,Milk Variant 19,184,25.87,9.03,27.81,High-Protein
1238,Tofu Variant 31,130,18.74,13.08,35.94,"High-Protein, Low-Salt, Diabetes-Friendly"
1239,Chicken Breast Variant 44,486,23.69,22.98,3.08,"Kidney-Friendly, Balanced"
1240,Broccoli Variant 20,316,6.61,13.12,41.18,"Diabetes-Friendly, High-Protein, Low-Carb"
1241,Tofu Variant 38,525,13.61,6.14,13.61,High-Protein
1242,Broccoli Variant 20,417,18.32,18.88,18.4,"Heart-Healthy, High-Protein"
1243,Egg Variant 24,87,6.21,8.64,33.86,"Weight-Loss, Heart-Healthy, Balanced"
1244,Beef Variant 26,323,15.33,21.93,47.82,"Kidney-Friendly, Diabetes-Friendly, Weight-Loss"
1245,Broccoli Variant 18,198,20.81,12.01,59.43,"Liver-Friendly, Kidney-Friendly"
1246,Tofu Variant 29,349,38.08,18.03,58.55,"Diabetes-Friendly, Weight-Loss, Liver-Friendly"
1247,Potato Variant 30,158,7.45,0.66,16.19,"Kidney-Friendly, Low-Salt, Diabetes-Friendly"
1248,Cheese Variant 15,467,5.72,2.68,2.94,"Balanced, Kidney-Friendly"
1249,Tofu Variant 32,52,12.21,11.07,16.29,"Diabetes-Friendly, Low-Carb, Liver-Friendly"
1250,Tofu Variant 5,32,39.34,14.58,26.49,High-Protein
1251,Spinach Variant 36,31,9.3,26.88,46.94,"Low-Salt, Kidney-Friendly, Balanced"
1252,Orange Variant 5,383,14.77,25.28,44.43,"High-Protein, Weight-Loss, Kidney-Friendly"
1253,Almonds Variant 8,235,5.89,23.67,74.01,Heart-Healthy
1254,Rice Variant 20,307,37.32,22.91,70.52,"Kidney-Friendly, Diabetes-Friendly, Liver-Friendly"
1255,Yogurt Variant 7,296,4.48,13.74,45.36,"Balanced, High-Protein"
1256,Chicken Breast Variant 10,422,38.67,12.21,40.69,Balanced
1257,Salmon Variant 42,89,12.05,1.66,79.21,"Balanced, High-Protein, Low-Salt"
1258,Oats Variant 20,81,12.53,1.73,2.22,"Weight-Loss, High-Protein, Heart-Healthy"
1259,Banana Variant 40,515,31.81,1.87,67.63,"Kidney-Friendly, Weight-Loss"
1260,Potato Variant 6,486,33.5,29.34,30.27,"Heart-Healthy, Low-Carb"
1261,Egg Variant 13,67,16.63,3.89,79.29,Liver-Friendly
1262,Almonds Variant 48,138,35.67,11.26,70.43,"Balanced, Liver-Friendly, Low-Carb"
1263,Cheese Variant 22,559,19.81,18.92,53.35,"Kidney-Friendly, Weight-Loss, High-Protein"
1264,Beef Variant 27,495,13.67,11.27,34.42,Heart-Healthy
1265,Apple Variant 15,568,14.5,12.07,23.08,"Diabetes-Friendly, Liver-Friendly"
1266,Spinach Variant 22,260,34.77,29.69,32.52,"Heart-Healthy, High-Protein, Kidney-Friendly"
1267,Oats Variant 37,54,39.13,27.46,56.3,Kidney-Friendly
